"word","conc","word_len"
"PRIDE",270,5
"DECISION",297,8
"APPROVAL",267,8
"SYMPATHY",278,8
"MANNER",297,6
"BLAME",293,5
"CHAOS",299,5
"LOYALTY",261,7
"ADVICE",291,6
"ANXIETY",241,7
"EXCITEMENT",282,10
"GOOD",297,4
"TRUTH",261,5
"QUALITY",274,7
"DIGNITY",280,7
"INNOCENCE",247,9
"PURPOSE",280,7
"SIN",273,3
"IDEA",259,4
"ENVY",265,4
"EGO",261,3
"ABILITY",273,7
"BELIEF",270,6
"MAGIC",257,5
"GUESS",247,5
"HATRED",239,6
"DIFFERENCE",270,10
"CONCEPT",264,7
"HONOR",NA,5
"ATTITUDE",265,8
"RULE",286,4
"SPIRIT",296,6
"HARM",244,4
"FUN",295,3
"RESPECT",280,7
"THEORY",287,6
"HEROISM",283,7
"GUILT",299,5
"GREED",262,5
"OPINION",285,7
"FREEDOM",277,7
"SHAME",287,5
"MISERY",297,6
"HOPE",261,4
"EFFORT",296,6
"EXPERIENCE",275,10
"MERCY",239,5
"KNOWLEDGE",278,9
"EMOTION",260,7
"PASSION",300,7
"DREAD",267,5
"WISDOM",275,6
"FATE",255,4
"MORAL",220,5
"COURAGE",277,7
"VIRTUE",243,6
"JOY",300,3
"FEELING",262,7
"SCORN",290,5
"SOUL",289,4
"TRUST",300,5
"CONFUSION",282,9
"WISH",270,4
"LUCK",275,4
