"word","conc","word_len"
"ABASEMENT",275,9
"ABATEMENT",250,9
"ABDICATION",275,10
"ABDUCTION",337,9
"ABERRATION",330,10
"ABILITY",273,7
"ABSOLUTION",241,10
"ABUNDANCE",267,9
"ACCORD",299,6
"ACCORDANCE",270,10
"ACUMEN",272,6
"ADDITION",339,8
"ADHERENCE",265,9
"ADJECTIVE",316,9
"ADMISSION",305,9
"ADULTERY",311,8
"ADVANTAGE",282,9
"ADVERSITY",314,9
"ADVICE",291,6
"ADZE",283,4
"AFFECTION",280,9
"AGILITY",327,7
"AGONY",348,5
"AGREEMENT",327,9
"AIM",324,3
"ALACRITY",269,8
"ALIAS",232,5
"ALLEGATION",272,10
"ALLEGORY",283,8
"AMAZEMENT",277,9
"AMBITION",281,8
"AMENDMENT",326,9
"AMITY",278,5
"AMOUNT",335,6
"AMOUR",308,5
"AMPERE",327,6
"AMPLITUDE",315,9
"ANALOGY",247,7
"ANGER",315,5
"ANIMOSITY",253,9
"ANTAGONISM",288,10
"ANXIETY",241,7
"APOLOGY",311,7
"APPEAL",333,6
"APPROVAL",267,8
"APTITUDE",241,8
"ARRIVAL",328,7
"ASPECT",217,6
"ASSENT",311,6
"ASSISTANCE",288,10
"ATROCITY",296,8
"ATTEMPT",313,7
"ATTITUDE",265,8
"ATTRIBUTE",266,9
"AURORA",346,6
"AVOWAL",240,6
"AXIOM",306,5
"BANALITY",292,8
"BEAUTY",336,6
"BEDEL",276,5
"BEGINNING",318,9
"BEHAVIOUR",295,9
"BELIEF",270,6
"BEQUEST",349,7
"BETEL",320,5
"BETRAYAL",258,8
"BETTERMENT",270,10
"BLAME",293,5
"BLASPHEMY",324,9
"BLESSING",277,8
"BLUNDER",322,7
"BOAST",295,5
"BOLE",339,4
"BOLL",350,4
"BORE",344,4
"BOREDOM",262,7
"BOTHER",267,6
"BRAVERY",261,7
"BRILLIANT",350,9
"BRUTALITY",344,9
"BYRE",234,4
"CALCULUS",331,8
"CAPACITY",293,8
"CARE",342,4
"CAUL",273,4
"CAUSE",287,5
"CENTURY",346,7
"CHALLENGE",308,9
"CHANCE",254,6
"CHAOS",299,5
"CHEAT",329,5
"CHILDHOOD",335,9
"CHRONOLOGY",266,10
"CINQUE",250,6
"CLAIM",331,5
"CLEARANCE",328,9
"CLEMENCY",264,8
"CLOSER",323,6
"COGNITION",270,9
"COMESTIBLE",321,10
"COMPARISON",311,10
"COMPETENCE",256,10
"COMPLIMENT",302,10
"COMPOSURE",324,9
"CONCEPT",264,7
"CONCERT",252,7
"CONCLUSION",278,10
"CONDITION",303,9
"CONFIDENCE",270,10
"CONFLICT",305,8
"CONFUSION",282,9
"CONQUEST",339,8
"CONSCIENCE",255,10
"CONTENT",300,7
"CONTEXT",314,7
"CONTROL",311,7
"COPE",347,4
"COST",348,4
"COULOMB",317,7
"COURAGE",277,7
"COURTSHIP",346,9
"COWARDICE",263,9
"CRAVEN",295,6
"CRISIS",319,6
"CRITERION",261,9
"CRITICISM",316,9
"CULT",349,4
"CUNNING",265,7
"CURIOSITY",303,9
"CUSTOM",323,6
"CYLIX",335,5
"DAIS",333,4
"DALLIANCE",320,9
"DANGER",338,6
"DEAL",342,4
"DEAR",326,4
"DEBUT",303,5
"DECEIT",257,6
"DECISION",297,8
"DEDUCTION",327,9
"DEFENCE",346,7
"DEFIANCE",275,8
"DEFINITION",262,10
"DEITY",305,5
"DELIGHT",282,7
"DELIRIUM",318,8
"DEMEANOUR",257,9
"DEMOCRACY",298,9
"DEMON",302,5
"DENIAL",272,6
"DEPRESSION",303,10
"DERIVATION",242,10
"DESPAIR",279,7
"DEVIL",274,5
"DEVOTION",231,8
