"word" "conc" "word_len" "freq"
"1" "SECURITY" 290 8 12.4547786748945
"2" "PATIENCE" 266 8 8.92757950384347
"3" "ECONOMY" 284 7 11.8003725098052
"4" "GRIEF" 303 5 9.28637505825218
"5" "ACCORD" 299 6 9.39690292302739
"6" "FURY" 305 4 9.6628162843537
"7" "BOTHER" 267 6 7.95296679092313
"8" "NEGLECT" 282 7 9.24936875894366
"9" "APTITUDE" 241 8 8.35890061242164
"10" "NECESSITY" 273 9 9.70874922572708
"11" "IDEAL" 253 5 10.7093382230092
"12" "THOUGHT" 274 7 12.3873895311443
"13" "IMPETUS" 278 7 8.80537513890967
"14" "OBEDIENCE" 238 9 8.72371943690701
"15" "MEMORY" 284 6 11.7715828675064
"16" "VALUE" 260 5 12.1193266878592
"17" "WOE" 252 3 7.01391547481053
"18" "FAILURE" 282 7 11.5903586168668
"19" "HERESY" 270 6 8.64206217346211
"20" "VANITY" 250 6 8.94910546953925
"21" "ENIGMA" 242 6 8.49699048409872
"22" "ESSENCE" 243 7 9.79701530802561
"23" "ENTHUSIASM" 266 10 9.62661352880094
"24" "HONOUR" 258 6 11.1897129286785
"25" "RATE" 308 4 12.2855859823424
"26" "NONSENSE" 256 8 8.56445838388335
"27" "RISK" 290 4 11.7410724780668
"28" "TALENT" 290 6 11.1772988706927
"29" "IRONY" 243 5 8.59230066390304
"30" "AMBITION" 281 8 9.42995771351383
"31" "SUCCESS" 295 7 12.6691869729395
"32" "DISGRACE" 278 8 8.33062262033287
"33" "REALM" 303 5 10.1825576481393
"34" "VERITY" 270 6 7.49609734517596
"35" "BLESSING" 277 8 9.50517182658118
"36" "MIRACLE" 282 7 9.74208564599468
"37" "SORROW" 282 6 8.786456678344
"38" "WRONG" 303 5 10.8373824183586
"39" "WAY" 265 3 13.3264399028013
"40" "EQUITY" 303 6 10.379038268211
"41" "INFLUENCE" 280 9 12.2026317323727
"42" "MOOD" 234 4 9.92113098770872
"43" "PERCEPTION" 287 10 10.198467927469
"44" "DECEIT" 257 6 7.72444664563354
"45" "HUMOUR" 309 6 9.40112600718227
"46" "RARITY" 265 6 8.5972974356579
"47" "DELIGHT" 282 7 9.09873819539488
"48" "SPITE" 262 5 10.2707660792591
"49" "ASPECT" 217 6 10.7035365603227
"50" "ALLEGORY" 283 8 8.36846113761584
"51" "EASE" 305 4 10.0812152403199
"52" "BETRAYAL" 258 8 9.09459276343187
"53" "UPKEEP" 299 6 8.45510499910282
"54" "RELIEF" 303 6 11.3094987529588
"55" "ADVANTAGE" 282 9 11.4009654426166
"56" "EXTRA" 262 5 11.3891859748082
"57" "OPINION" 285 7 0.884104033113584
"58" "INCREASE" 315 8 -0.0833869285950591
"59" "SUFFRAGE" 283 8 -0.186980386925015
"60" "GRAVITY" 302 7 -0.169823970381694
"61" "TRIUMPH" 332 7 -0.18346453513699
"62" "GRIEVANCE" 295 9 -0.356755276534789
"63" "BLUNDER" 322 7 -0.382960184508113
"64" "IMMENSITY" 262 9 5.3890717298165
