"word" "conc" "word_len" "freq"
"1" "PRIDE" 270 5 10.5841825251568
"2" "DECISION" 297 8 12.327059432579
"3" "APPROVAL" 267 8 11.1585906379637
"4" "SYMPATHY" 278 8 9.42875274891449
"5" "MANNER" 297 6 11.19207260825
"6" "BLAME" 293 5 9.72477945931201
"7" "CHAOS" 299 5 10.133686158324
"8" "LOYALTY" 261 7 10.1578196453064
"9" "ADVICE" 291 6 10.987527512021
"10" "ANXIETY" 241 7 9.77326496548615
"11" "EXCITEMENT" 282 10 9.11316846022391
"12" "GOOD" 297 4 12.953037805776
"13" "TRUTH" 261 5 11.2047413206679
"14" "QUALITY" 274 7 12.065090709265
"15" "DIGNITY" 280 7 9.60231488990185
"16" "INNOCENCE" 247 9 9.53892443574839
"17" "PURPOSE" 280 7 11.7949038020053
"18" "SIN" 273 3 10.10671407001
"19" "IDEA" 259 4 12.1325391237329
"20" "ENVY" 265 4 8.28121766128665
"21" "EGO" 261 3 9.19624144759668
"22" "ABILITY" 273 7 12.0103800940777
"23" "BELIEF" 270 6 10.9738203869147
"24" "MAGIC" 257 5 11.3348030793035
"25" "GUESS" 247 5 9.24416192045169
"26" "HATRED" 239 6 9.46467246474641
"27" "DIFFERENCE" 270 10 11.3502771153333
"28" "CONCEPT" 264 7 11.9686463294094
"29" "HONOR" NA 5 11.8900185330226
"30" "ATTITUDE" 265 8 10.4892165463288
"31" "RULE" 286 4 12.1367386444366
"32" "SPIRIT" 296 6 11.5011564813702
"33" "HARM" 244 4 10.1684254255073
"34" "FUN" 295 3 10.8345880760638
"35" "RESPECT" 280 7 11.3465284371252
"36" "THEORY" 287 6 12.321443886257
"37" "HEROISM" 283 7 8.69232227762869
"38" "GUILT" 299 5 9.6085122825902
"39" "GREED" 262 5 8.60666819784384
"40" "OPINION" 285 7 11.2550222352742
"41" "FREEDOM" 277 7 11.8441195107031
"42" "SHAME" 287 5 9.26321741157695
"43" "MISERY" 297 6 8.67675776108758
"44" "HOPE" 261 4 11.5067765993834
"45" "EFFORT" 296 6 11.8419989697818
"46" "EXPERIENCE" 275 10 12.26946989066
"47" "MERCY" 239 5 10.027738514874
"48" "KNOWLEDGE" 278 9 11.9295415030559
"49" "EMOTION" 260 7 9.66090630732944
"50" "PASSION" 300 7 10.5355037330918
"51" "DREAD" 267 5 8.18088094199639
"52" "WISDOM" 275 6 9.94740873959406
"53" "FATE" 255 4 10.5511403817639
"54" "MORAL" 220 5 10.8761208099483
"55" "COURAGE" 277 7 10.0325841258705
"56" "VIRTUE" 243 6 9.99811568161491
"57" "JOY" 300 3 10.3543720708352
"58" "FEELING" 262 7 10.8710035764857
"59" "SCORN" 290 5 7.46565531013406
"60" "SOUL" 289 4 11.3296634660992
"61" "TRUST" 300 5 11.7684742490331
"62" "CONFUSION" 282 9 10.4437166266714
"63" "WISH" 270 4 10.7104097473549
"64" "LUCK" 275 4 9.93440465517085
