n_to_run,task,rp,soa,list,biggest_subj_num,n
22,cd,25,50,1,8,8
22,cd,25,50,2,8,8
16,cd,25,50,3,16,14
14,cd,25,50,4,16,16
22,cd,25,50,5,8,8
22,cd,25,50,6,8,8
22,cd,25,50,7,8,8
23,cd,25,50,8,8,7
0,cd,25,250,1,8,8
0,cd,25,250,2,8,8
0,cd,25,250,3,8,8
0,cd,25,250,4,8,8
0,cd,25,250,5,8,7
0,cd,25,250,6,8,8
0,cd,25,250,7,8,8
0,cd,25,250,8,8,8
7,cd,25,500,1,1,1
8,cd,25,500,2,0,0
8,cd,25,500,3,0,0
8,cd,25,500,4,0,0
8,cd,25,500,5,0,0
8,cd,25,500,6,0,0
8,cd,25,500,7,0,0
8,cd,25,500,8,0,0
8,cd,25,1000,1,0,0
8,cd,25,1000,2,0,0
8,cd,25,1000,3,0,0
8,cd,25,1000,4,0,0
8,cd,25,1000,5,0,0
8,cd,25,1000,6,0,0
8,cd,25,1000,7,0,0
8,cd,25,1000,8,0,0
0,cd,50,50,1,16,16
0,cd,50,50,2,16,16
0,cd,50,50,3,21,21
0,cd,50,50,4,16,16
0,cd,50,250,1,16,16
0,cd,50,250,2,16,16
0,cd,50,250,3,16,16
0,cd,50,250,4,16,16
0,cd,50,500,1,16,16
0,cd,50,500,2,16,16
0,cd,50,500,3,16,16
0,cd,50,500,4,16,16
0,cd,50,1000,1,16,16
0,cd,50,1000,2,16,16
0,cd,50,1000,3,16,16
0,cd,50,1000,4,16,16
0,ad,25,50,1,12,12
0,ad,25,50,2,12,12
0,ad,25,50,3,13,11
0,ad,25,50,4,8,8
0,ad,25,50,5,107,15
0,ad,25,50,6,8,8
0,ad,25,50,7,8,8
0,ad,25,50,8,106,12
0,ad,25,250,1,16,16
0,ad,25,250,2,15,15
0,ad,25,250,3,12,12
0,ad,25,250,4,12,12
0,ad,25,250,5,12,12
0,ad,25,250,6,12,12
0,ad,25,250,7,12,12
0,ad,25,250,8,13,13
0,ad,25,500,1,16,16
0,ad,25,500,2,101,9
0,ad,25,500,3,9,9
0,ad,25,500,4,8,8
0,ad,25,500,5,8,8
0,ad,25,500,6,8,8
0,ad,25,500,7,8,8
0,ad,25,500,8,8,8
0,ad,25,1000,1,8,8
0,ad,25,1000,2,8,8
0,ad,25,1000,3,8,8
0,ad,25,1000,4,8,8
0,ad,25,1000,5,8,8
0,ad,25,1000,6,8,8
0,ad,25,1000,7,8,8
0,ad,25,1000,8,8,8
0,ad,50,50,1,16,16
0,ad,50,50,2,20,20
0,ad,50,50,3,20,20
0,ad,50,50,4,20,20
0,ad,50,250,1,16,16
0,ad,50,250,2,109,25
0,ad,50,250,3,16,16
0,ad,50,250,4,16,16
0,ad,50,500,1,19,19
0,ad,50,500,2,16,16
0,ad,50,500,3,108,17
0,ad,50,500,4,16,16
0,ad,50,1000,1,110,20
0,ad,50,1000,2,17,17
0,ad,50,1000,3,105,18
0,ad,50,1000,4,18,18
