,task,rp,soa,list,subj_num
0,cd,25,1000,5,1
1,cd,25,50,7,9
2,cd,25,50,7,10
3,cd,25,50,2,9
4,cd,25,50,6,9
5,cd,25,500,4,1
6,cd,25,50,3,17
7,cd,25,50,2,10
8,cd,25,50,2,11
9,cd,25,50,5,9
10,cd,25,50,6,10
11,cd,25,500,2,1
12,cd,25,1000,7,1
13,cd,25,50,1,9
14,cd,25,50,6,11
15,cd,25,1000,6,1
16,cd,25,1000,6,2
17,cd,25,500,7,1
18,cd,25,50,5,10
19,cd,25,50,3,18
20,cd,25,50,3,19
21,cd,25,1000,8,1
22,cd,25,50,2,12
23,cd,25,50,6,12
24,cd,25,1000,2,1
25,cd,25,500,5,1
26,cd,25,500,6,1
27,cd,25,50,8,9
28,cd,25,500,7,2
29,cd,25,50,2,13
30,cd,25,500,4,2
31,cd,25,1000,3,1
32,cd,25,1000,8,2
33,cd,25,1000,4,1
34,cd,25,50,2,14
35,cd,25,50,5,11
36,cd,25,50,5,12
37,cd,25,500,7,3
38,cd,25,1000,7,2
39,cd,25,50,4,17
40,cd,25,500,1,2
41,cd,25,50,8,10
42,cd,25,500,8,1
43,cd,25,1000,6,3
44,cd,25,500,7,4
45,cd,25,50,8,11
46,cd,25,1000,1,1
47,cd,25,50,4,18
48,cd,25,1000,8,3
49,cd,25,50,2,15
50,cd,25,50,8,12
51,cd,25,1000,7,3
52,cd,25,1000,5,2
53,cd,25,50,2,16
54,cd,25,50,6,13
55,cd,25,1000,2,2
56,cd,25,50,8,13
57,cd,25,50,1,10
58,cd,25,50,6,14
59,cd,25,50,2,17
60,cd,25,50,1,11
61,cd,25,50,8,14
62,cd,25,50,2,18
63,cd,25,500,3,1
64,cd,25,500,2,2
65,cd,25,50,7,11
66,cd,25,500,4,3
67,cd,25,50,5,13
68,cd,25,50,8,15
69,cd,25,1000,5,3
70,cd,25,50,6,15
71,cd,25,50,2,19
72,cd,25,1000,7,4
73,cd,25,1000,2,3
74,cd,25,500,4,4
75,cd,25,50,7,12
76,cd,25,50,6,16
77,cd,25,1000,2,4
78,cd,25,50,7,13
79,cd,25,50,3,20
80,cd,25,50,2,20
81,cd,25,50,8,16
82,cd,25,1000,3,2
83,cd,25,500,1,3
84,cd,25,50,4,19
85,cd,25,1000,4,2
86,cd,25,50,4,20
87,cd,25,1000,5,4
88,cd,25,500,4,5
89,cd,25,50,8,17
90,cd,25,500,6,2
91,cd,25,50,7,14
92,cd,25,500,5,2
93,cd,25,50,6,17
94,cd,25,50,5,14
95,cd,25,50,2,21
96,cd,25,50,4,21
97,cd,25,500,2,3
98,cd,25,500,5,3
99,cd,25,1000,8,4
100,cd,25,50,3,21
101,cd,25,50,6,18
102,cd,25,50,3,22
103,cd,25,500,6,3
104,cd,25,50,2,22
105,cd,25,50,7,15
106,cd,25,50,8,18
107,cd,25,1000,1,2
108,cd,25,50,5,15
109,cd,25,50,3,23
110,cd,25,500,3,2
111,cd,25,1000,2,5
112,cd,25,50,5,16
113,cd,25,50,5,17
114,cd,25,500,8,2
115,cd,25,50,6,19
116,cd,25,500,8,3
117,cd,25,50,4,22
118,cd,25,50,3,24
119,cd,25,50,4,23
120,cd,25,1000,6,4
121,cd,25,50,7,16
122,cd,25,50,7,17
123,cd,25,50,3,25
124,cd,25,500,5,4
125,cd,25,50,8,19
126,cd,25,50,4,24
127,cd,25,50,5,18
128,cd,25,1000,1,3
129,cd,25,1000,4,3
130,cd,25,1000,7,5
131,cd,25,1000,8,5
132,cd,25,50,2,23
133,cd,25,50,7,18
134,cd,25,50,1,12
135,cd,25,500,8,4
136,cd,25,500,4,6
137,cd,25,50,6,20
138,cd,25,50,2,24
139,cd,25,500,6,4
140,cd,25,50,8,20
141,cd,25,50,3,26
142,cd,25,500,1,4
143,cd,25,1000,7,6
144,cd,25,500,1,5
145,cd,25,1000,8,6
146,cd,25,500,7,5
147,cd,25,50,4,25
148,cd,25,500,4,7
149,cd,25,50,1,13
150,cd,25,50,5,19
151,cd,25,50,6,21
152,cd,25,1000,5,5
153,cd,25,500,1,6
154,cd,25,500,2,4
155,cd,25,500,2,5
156,cd,25,500,6,5
157,cd,25,500,8,5
158,cd,25,50,5,20
159,cd,25,1000,6,5
160,cd,25,50,7,19
161,cd,25,500,4,8
162,cd,25,1000,2,6
163,cd,25,50,1,14
164,cd,25,50,3,27
